user_id,session_duration,page_views,conversion_rate,bounce_rate,device_type
user_0,276.1832267299645,8,0.3225794126944964,0.09909550514586223,desktop
user_1,39.683413412019924,8,0.16666631859629588,0.08606714099722672,desktop
user_2,0.8530372117054801,8,0.40358298187709357,0.4859335763331211,desktop
user_3,664.7915961444772,5,0.0694798101569955,0.16781251126235427,mobile
user_4,532.167922628518,8,0.29021247029348124,0.17636131270172087,mobile
user_5,361.16476506931764,7,0.3148271445161974,0.2789786273970018,mobile
user_6,106.909112240763,8,0.18618614208292908,0.3116787646749181,desktop
user_7,392.4253164471241,10,0.07522707239099133,0.22418652064032227,desktop
user_8,49.66353025853419,6,0.1980923640226534,0.1507517442959975,desktop
user_9,254.2349841193142,7,0.017794361741807877,0.3729549182871054,mobile
user_10,228.8770802508246,5,0.06296360347307958,0.41821153189733684,desktop
user_11,40.469877488222245,9,0.26593072295671555,0.4896861108794368,mobile
user_12,369.80974643037007,3,0.13889543943064508,0.3093708679497991,desktop
user_13,362.8323353564006,5,0.0418710639453229,0.33211594362929925,desktop
user_14,192.01548262842095,7,0.35725837996898707,0.3619045529921773,desktop
user_15,58.55304849009026,5,0.12392536540160773,0.18222799891987154,mobile
user_16,438.9710722246974,4,0.21199437606868754,0.08808772897451397,desktop
user_17,557.6655946273817,8,0.20985465029283626,0.3730197249211268,desktop
user_18,204.5947512686894,9,0.13381410427999857,0.1973763440160983,mobile
user_19,47.054043468915346,7,0.057071489972923044,0.40319252241107223,desktop
user_20,531.2996037018306,8,0.18079884653404982,0.4519565835216521,desktop
user_21,218.82389645672552,11,0.27086308337940873,0.1311215450980103,mobile
user_22,162.602362284295,7,0.05422353538510449,0.16184222211262594,mobile
user_23,9.123933110262307,9,0.2100594129363082,0.2984517599195026,mobile
user_24,403.5705200995417,5,0.5413778423077666,0.1161604054808458,desktop
user_25,37.972709220191064,8,0.26116486027308194,0.1197735672695414,desktop
user_26,402.33441141561144,7,0.14781043380092296,0.3475570521027608,desktop
user_27,399.40966491670247,6,0.2432947726930775,0.3791920595211039,mobile
user_28,574.5681418452682,12,0.3100994884207983,0.3497822096534983,mobile
user_29,540.5069465480077,5,0.26209833443398506,0.16562443146366643,desktop
user_30,125.43148461127822,10,0.6299195180158169,0.18909289221766298,mobile
user_31,144.04875192451323,11,0.05293591636314717,0.33284895347346444,desktop
user_32,102.1632807697883,8,0.3781981551968974,0.18294604817927979,desktop
user_33,314.91783891324013,8,0.21052420368981145,0.050011162685769016,desktop
user_34,469.20179741217373,7,0.11208140766828371,0.20345751942912865,desktop
user_35,111.08152641189605,5,0.6694341433184642,0.1557593303166036,desktop
user_36,625.4344382358224,4,0.11565969008311303,0.32133721098537676,desktop
user_37,227.3028039529465,9,0.24162760155257318,0.12709436429607635,desktop
user_38,155.01283784335288,12,0.328448570747655,0.28764967048314966,mobile
user_39,527.2633912592074,6,0.5077217932408548,0.3449355928044038,mobile
user_40,671.6840483372875,6,0.20099209666226844,0.29904346408943755,mobile
user_41,426.1228932106207,3,0.053824361468726094,0.14781090010136205,desktop
user_42,366.3755457201563,13,0.2161287103031775,0.22825527320706251,mobile
user_43,69.15632851644648,12,0.1291357966649566,0.3136883358950179,desktop
user_44,739.129333254329,2,0.11273475990770478,0.07176454632813632,desktop
user_45,67.49620769358413,5,0.10722318339856203,0.4927811679549284,desktop
user_46,0.624561956680844,11,0.22182123539712664,0.3791956399361008,mobile
user_47,181.53380377025923,10,0.2835705374929349,0.42014869452622555,mobile
user_48,1169.659014835986,13,0.19528695653229527,0.23802213893145513,desktop
user_49,4.248710915481764,9,0.1265220065474153,0.2560785634204701,mobile
user_50,314.22736183020083,12,0.026245748788950043,0.2948224795954933,desktop
user_51,362.88696858979233,7,0.1308622451966488,0.4722799636773783,desktop
user_52,181.23046900361038,7,0.19404241937223976,0.15245940860363832,mobile
user_53,1235.893166120391,7,0.05641363458636539,0.2069268528407954,mobile
user_54,40.91534513259145,9,0.3184157459511225,0.18756169559787517,desktop
user_55,182.7279774905361,9,0.27144583641648146,0.22236135120140707,desktop
user_56,316.40766197836115,5,0.23421976763104482,0.2853065244232525,mobile
user_57,187.48374571658607,8,0.34388921878204454,0.22333312071338315,mobile
user_58,182.98136245912934,12,0.06517971791214161,0.3066234640083756,desktop
